n	row_ratio	col_ratio	offset
32010	4.74445485785692	4.744486098094345	1
32296	4.745417389150359	4.745448352737181	1
32582	4.746915474802038	4.746976858388067	2
32868	4.747931118413046	4.748052817329926	4
33153	4.750037703978524	4.750067867161343	1
33439	4.750889679715303	4.750919584915817	1
33725	4.752824314306894	4.752942920681987	4
34011	4.754314780512187	4.754373585016612	2
34296	4.754344529974341	4.754402845812923	2
34582	4.755855647446649	4.755942397779192	3
34868	4.7555925203625105	4.75570723872892	4
35154	4.75752403709393	4.757609375888946	3
35440	4.758211060948081	4.758267494356659	2
35725	4.7604198740377885	4.760447865640308	1
36011	4.760600927494377	4.760712004665241	4
36297	4.7625699093589	4.762652560817698	3
36583	4.763469371019326	4.763496706120329	1
36869	4.763378448018661	4.763595432477149	8
37154	4.763551703719654	4.763578618722076	1
37440	4.765037393162393	4.765064102564103	1
37726	4.765970418279171	4.766023432115782	2
38012	4.7670472482373984	4.767099863201095	2
38298	4.768760770797431	4.768891325917802	5
38583	4.769121115517197	4.7692766244200815	6
38869	4.769379196789215	4.769404924232679	1
39155	4.769531349763759	4.769607968330992	3
39441	4.76963058745975	4.769655941786466	1
39727	4.772346263246658	4.772396606841695	2
40012	4.773293012096371	4.773392982105368	4
40298	4.773959005409698	4.774008635664301	2
40584	4.776044746698206	4.776118667455155	3
40870	4.776045999510644	4.776143870809885	4
41156	4.777991058411896	4.778039653999417	2
41441	4.778214811418644	4.778287203494124	3
41727	4.779519256117142	4.77954322141539	1
42013	4.780234689262847	4.780282293575798	2
42299	4.78127142485638	4.781295066077212	1
42585	4.782646471762358	4.7826934366561	2
42870	4.783834849545136	4.783928154886867	4
43156	4.784942997497451	4.784989340995458	2
43442	4.785299940150085	4.785392016942129	4
43728	4.785972374679839	4.786040980607392	3
44014	4.78686327077748	4.78704503112646	8
44299	4.788347366757715	4.788437662249712	4
44585	4.789323763597623	4.789346192665695	1
44871	4.79104544137639	4.791090013594527	2
45157	4.791859512367961	4.791925947250703	3
45443	4.793059437097023	4.793169465044121	5
45728	4.793780615815256	4.793802484254724	1
